,song_id,input,reference,baseline_output,finetuned_output
10,210898,"I hear your footsteps down the hall
I check my messages but I don't hear you call
I think of days gone by and now I wonder why you left me
But I can't go on without you without you
Sometimes I wander on my way
Sometimes I just break down and pray
Sometimes I think of you and I don't know what to do
And I wonder how I will go on without you",How I will go on without your love,"I hear your footsteps down the hall
I check my messages but I don't hear you call
I think of days gone by and now I wonder why you left me
But I can't go on without you without you
Sometimes I wander on my way
Sometimes I just break down and pray
Sometimes I think of you and I don't know what to do
And I wonder how I will go on without you
Sometimes I wander on my way
Sometimes I just break down and pray","I hear your footsteps down the hall
I check my messages but I don't hear you call
I think of days gone by and now I wonder why you left me
But I can't go on without you without you
Sometimes I wander on my way
Sometimes I just break down and pray
Sometimes I think of you and I don't know what to do
And I wonder how I will go on without you without you
Sometimes I wander on my way
Sometimes I just break down and pray
Sometimes I"
11,721580,"Mama taught us how to sing in harmony
Grandma used to stomp her foot and slap her knee
I can still hear daddy singing
Down by the old mill stream
When uncle Jim played the fiddle
You could hear it talk
You could hear it sing
And it echoed down the mountains",To those Georgia pines,"Mama taught us how to sing in harmony
Grandma used to stomp her foot and slap her knee
I can still hear daddy singing
Down by the old mill stream
When uncle Jim played the fiddle
You could hear it talk
You could hear it sing
And it echoed down the mountains
Grandma taught us how to sing in harmony
Grandma used to stomp her foot and slap","Mama taught us how to sing in harmony
Grandma used to stomp her foot and slap her knee
I can still hear daddy singing
Down by the old mill stream
When uncle Jim played the fiddle
You could hear it talk
You could hear it sing
And it echoed down the mountainside
And I can still hear daddy singing
Down by the old mill stream
When uncle Jim"
12,1110453,"There's a big race down in Dallas
Don't you wish that you were there?
You could bet your bottom dollar
On that iron gray mare
Had a black horse named Delilah
And I raised her on the farm
There was thunder, there was lightnin'
On the day Stewball was born","Won't you bet on Stewball, she might win win win","There's a big race down in Dallas
Don't you wish that you were there?
You could bet your bottom dollar
On that iron gray mare
Had a black horse named Delilah
And I raised her on the farm
There was thunder, there was lightnin'
On the day Stewball was born","There's a big race down in Dallas
Don't you wish that you were there?
You could bet your bottom dollar
On that iron gray mare
Had a black horse named Delilah
And I raised her on the farm
There was thunder, there was lightnin'
On the day Stewball was born
There's a big race down in Dallas
Don't you wish that you were there?
"
13,1783800,"Little girl don't be so quit to give your love so free
Little girl what makes you want to throw yourself with me
Just in your teens you're looking more like twenty one
You run ahead of life when it's only just begun
Don't you know I may never pass this way again
Little girl you'd better go before I'd change my mind
Little girl walk away while you still have the time
It's just a part of growing up someday you'll see",Then you'll wonder what you ever saw in me,"Little girl don't be so quit to give your love so free
Little girl what makes you want to throw yourself with me
Just in your teens you're looking more like twenty one
You run ahead of life when it's only just begun
Don't you know I may never pass this way again
Little girl you'd better go before I'd change my mind
Little girl walk away while you still have the time
It's just a part of growing up someday you'll see
Little girl don't be so quit to give your love so free","Little girl don't be so quit to give your love so free
Little girl what makes you want to throw yourself with me
Just in your teens you're looking more like twenty one
You run ahead of life when it's only just begun
Don't you know I may never pass this way again
Little girl you'd better go before I'd change my mind
Little girl walk away while you still have the time
It's just a part of growing up someday you'll see
Little girl don't be so quit to give your love so free
Little girl what makes you"
14,3500914,"I made a little bit of money
I fell and I stayed in love
I got some good friends I can sometimes count on
When times get tough
But I got vices in my closet
And foes waiting at my door
I got secrets
I could have done time for",I don't listen to the girl on the movie screen; she's lying,"I made a little bit of money
I fell and I stayed in love
I got some good friends I can sometimes count on
When times get tough
But I got vices in my closet
And foes waiting at my door
I got secrets
I could have done time for them
But I didn't want to
I don't want to
I don't want to","I made a little bit of money
I fell and I stayed in love
I got some good friends I can sometimes count on
When times get tough
But I got vices in my closet
And foes waiting at my door
I got secrets
I could have done time for you
I could have done time for you
I could have done time for you
I could"
15,207634,"Our love affair is bitter sweet
Insecure and incomplete
And I've often wondered why your leaving's been so long delayed
It's all become so complicated
Maybe you feel obligated
And out of sympathy for me you stay
But I had rather live alone
Than live with someone who doesn't love me",And I'd rather have you go than stay,"Our love affair is bitter sweet
Insecure and incomplete
And I've often wondered why your leaving's been so long delayed
It's all become so complicated
Maybe you feel obligated
And out of sympathy for me you stay
But I had rather live alone
Than live with someone who doesn't love me at all
I don't know what to do with myself
I don't know what to do","Our love affair is bitter sweet
Insecure and incomplete
And I've often wondered why your leaving's been so long delayed
It's all become so complicated
Maybe you feel obligated
And out of sympathy for me you stay
But I had rather live alone
Than live with someone who doesn't love me
And I've often wondered why your leaving's been so long delayed
It's all become so"
16,1787566,"I'm for the low man on the totem pole
And I'm for the underdog, God bless his soul
And I'm for the guys still pulling third shift
And the single mom raising her kids
And I'm for the preacher who stay on their knees
And I'm for the sinner who finally believed
And I'm for the farmer with dirt on his hands
And the soldiers who fight for this land",And I'm for the bible,"I'm for the low man on the totem pole
And I'm for the underdog, God bless his soul
And I'm for the guys still pulling third shift
And the single mom raising her kids
And I'm for the preacher who stay on their knees
And I'm for the sinner who finally believed
And I'm for the farmer with dirt on his hands
And the soldiers who fight for this land
And I'm for the guy who doesn't know what he's doing
And I'm for","I'm for the low man on the totem pole
And I'm for the underdog, God bless his soul
And I'm for the guys still pulling third shift
And the single mom raising her kids
And I'm for the preacher who stay on their knees
And I'm for the sinner who finally believed
And I'm for the farmer with dirt on his hands
And the soldiers who fight for this land
And I'm for the ones who don't know what they're fighting for
And I'm"
17,4834060,"Walked into the party
Like you walked into a photoshoot
Like a red neck prince charming
In his golden cowboy boots
I fell for you so easy
Yeah, I swore that you could do no wrong
Now you come home breathing whiskey
And your trucks parked on the lawn","You make it hard, hard to love you","Walked into the party
Like you walked into a photoshoot
Like a red neck prince charming
In his golden cowboy boots
I fell for you so easy
Yeah, I swore that you could do no wrong
Now you come home breathing whiskey
And your trucks parked on the lawn
And you're like,  I don't know what to say 
","Walked into the party
Like you walked into a photoshoot
Like a red neck prince charming
In his golden cowboy boots
I fell for you so easy
Yeah, I swore that you could do no wrong
Now you come home breathing whiskey
And your trucks parked on the lawn
Like you walked into a photoshoot
Like a red neck prince charming
In his gold"
18,4480302,"Can I take your order please?
We’ve got 2 for 1 drinks
No, no, I’m not busy
I can bring you anything
No I don’t need to write it down
Please, I’ve got this down by now
Oh, take your time
I know I would take mine",But I’m waiting on you,"Can I take your order please?
We’ve got 2 for 1 drinks
No, no, I’m not busy
I can bring you anything
No I don’t need to write it down
Please, I’ve got this down by now
Oh, take your time
I know I would take mine
I know I would take mine
I know I would take mine
I know I would take","Can I take your order please?
We’ve got 2 for 1 drinks
No, no, I’m not busy
I can bring you anything
No I don’t need to write it down
Please, I’ve got this down by now
Oh, take your time
I know I would take mine
But I don’t wanna waste mine
I don’t wanna waste mine
"
19,3225998,"I was rumblin' on the dark side of the city
Drinkin' heavy to bury the pity
This slow, slow track I'm on
When I start, oh it's so hard to stop
I'm gonna drink until I drop
Until every can is gone
Sometimes it's a hit, sometimes it's a sip
Sometimes you take the whole thing down",Vices I found in this town,"I was rumblin' on the dark side of the city
Drinkin' heavy to bury the pity
This slow, slow track I'm on
When I start, oh it's so hard to stop
I'm gonna drink until I drop
Until every can is gone
Sometimes it's a hit, sometimes it's a sip
Sometimes you take the whole thing down
I'm rumblin' on the dark side of the city","I was rumblin' on the dark side of the city
Drinkin' heavy to bury the pity
This slow, slow track I'm on
When I start, oh it's so hard to stop
I'm gonna drink until I drop
Until every can is gone
Sometimes it's a hit, sometimes it's a sip
Sometimes you take the whole thing down
I'm gonna drink until I drop
Until every can is gone
Sometimes it's a hit"
20,6254261,"We're all contagious, connected through the air
Fingers crossed and go and get some donuts if you dare
Thousand rolls of toilet paper on the shelf
I'm quarantined from myself
Zoom for your birthday, Zoom for your school
Zoom, Zoom, swimmin' pool, olden rule
Say their names, draw the lines
Kobe, Chadwick, John Prine","Editors, creditors, Redditors, impostors","We're all contagious, connected through the air
Fingers crossed and go and get some donuts if you dare
Thousand rolls of toilet paper on the shelf
I'm quarantined from myself
Zoom for your birthday, Zoom for your school
Zoom, Zoom, swimmin' pool, olden rule
Say their names, draw the lines
Kobe, Chadwick, John Prine","We're all contagious, connected through the air
Fingers crossed and go and get some donuts if you dare
Thousand rolls of toilet paper on the shelf
I'm quarantined from myself
Zoom for your birthday, Zoom for your school
Zoom, Zoom, swimmin' pool, olden rule
Say their names, draw the lines
Kobe, Chadwick, John Prine
I'm just tryin' to be me
I'm just tryin' to be me"
21,7590231,"Just last week I went to prison
To see some boys down on death row
Brought some guitars and my buddies
To play some songs I thought they'd know, hm
I could feel myself tremblin'
When I shook one of their hands
I thought that he would be a monster
It turns out he's a whole lot like I am","Yeah, we talked huntin', we talked fishin'","Just last week I went to prison
To see some boys down on death row
Brought some guitars and my buddies
To play some songs I thought they'd know, hm
I could feel myself tremblin'
When I shook one of their hands
I thought that he would be a monster
It turns out he's a whole lot like I am
He's just like me
He's just like me
He's just like me","Just last week I went to prison
To see some boys down on death row
Brought some guitars and my buddies
To play some songs I thought they'd know, hm
I could feel myself tremblin'
When I shook one of their hands
I thought that he would be a monster
It turns out he's a whole lot like I am
He's a little bit like me
He's a little bit like me
He's a"
22,2864653,"Two years, to the day
Straight up, an instant connection
You broke, her heart for me
And I let you
History, is telling me
I'm gonna be walking in her shoes
You let, her down for me
Now it's my turn",Should'a known,"Two years, to the day
Straight up, an instant connection
You broke, her heart for me
And I let you
History, is telling me
I'm gonna be walking in her shoes
You let, her down for me
Now it's my turn
Straight up, an instant connection","Two years, to the day
Straight up, an instant connection
You broke, her heart for me
And I let you
History, is telling me
I'm gonna be walking in her shoes
You let, her down for me
Now it's my turn
I'm gonna be walking in her shoes
You let, her down for me
Now it"
23,2478051,"Long is the green grass
Tall are the pines
How I miss the way you feel
In these arms of mine
Gotta let you know
Don't want to let you go
Sweet is the honey
Soft is the rain",Can you hear me calling,"Long is the green grass
Tall are the pines
How I miss the way you feel
In these arms of mine
Gotta let you know
Don't want to let you go
Sweet is the honey
Soft is the rain
Sweet is the rain
Sweet is the rain
Sweet is the rain
Sweet is the rain","Long is the green grass
Tall are the pines
How I miss the way you feel
In these arms of mine
Gotta let you know
Don't want to let you go
Sweet is the honey
Soft is the rain
Sweet is the honey
Soft is the rain
Sweet is the honey
Soft is the rain"
24,676102,"Hey Jude, don't make it bad
Take a sad song and make it better
Remember to let her into your heart
Then you can start to make it better
Hey Jude, don't be afraid
You were made to go out and get her
The minute you let her under your skin
Then you begin to make it better","And anytime you feel the pain, hey Jude, refrain","Hey Jude, don't make it bad
Take a sad song and make it better
Remember to let her into your heart
Then you can start to make it better
Hey Jude, don't be afraid
You were made to go out and get her
The minute you let her under your skin
Then you begin to make it better","Hey Jude, don't make it bad
Take a sad song and make it better
Remember to let her into your heart
Then you can start to make it better
Hey Jude, don't be afraid
You were made to go out and get her
The minute you let her under your skin
Then you begin to make it better
Hey Jude, don't make it bad
Take a sad song and make it better
Remember"
25,6609649,"Well, you're back on my doorstep a-crying
Like I cried for all those lonely years
But I can't dry your tears, it's been too long since love was here
And I've already gave you my better years
And so, the pages of time kept right on turning (oh, yes they did)
They never stop for us to harvest the years
And old embers of love kept right on dying
For there was no one to dry my tears",And you're back on my doorsteps a-crying,"Well, you're back on my doorstep a-crying
Like I cried for all those lonely years
But I can't dry your tears, it's been too long since love was here
And I've already gave you my better years
And so, the pages of time kept right on turning (oh, yes they did)
They never stop for us to harvest the years
And old embers of love kept right on dying
For there was no one to dry my tears, it's been too long since love was here","Well, you're back on my doorstep a-crying
Like I cried for all those lonely years
But I can't dry your tears, it's been too long since love was here
And I've already gave you my better years
And so, the pages of time kept right on turning (oh, yes they did)
They never stop for us to harvest the years
And old embers of love kept right on dying
For there was no one to dry my tears, it's been too long since love was here
And I've already given you my better years"
26,691670,"Well the party started early bout a quarter till three
Just a few close friends and my baby and me
We just got started when somebody asked
How long you think this party's going to last
We said all night long all night long
We'll be rocking we'll be rolling
Going to boogie woogie all night long
Well the next door neighbours started raising a fuss",Said you had a party and didn't call us,"Well the party started early bout a quarter till three
Just a few close friends and my baby and me
We just got started when somebody asked
How long you think this party's going to last
We said all night long all night long
We'll be rocking we'll be rolling
Going to boogie woogie all night long
Well the next door neighbours started raising a fuss","Well the party started early bout a quarter till three
Just a few close friends and my baby and me
We just got started when somebody asked
How long you think this party's going to last
We said all night long all night long
We'll be rocking we'll be rolling
Going to boogie woogie all night long
Well the next door neighbours started raising a fuss
They said it's too loud and it's too loud
They said it's too loud and"
27,6098479,"Taking dimly lit pictures
Of bottles of soy sauce all day
He dimly remembers
That there was a time before he lost his way
There aren't a lot of choices
When you have so many bills to pay
But now the little voices
That used to bring him great ideas just say","""Whore, whore","Taking dimly lit pictures
Of bottles of soy sauce all day
He dimly remembers
That there was a time before he lost his way
There aren't a lot of choices
When you have so many bills to pay
But now the little voices
That used to bring him great ideas just say,
""I can't do it anymore.""","Taking dimly lit pictures
Of bottles of soy sauce all day
He dimly remembers
That there was a time before he lost his way
There aren't a lot of choices
When you have so many bills to pay
But now the little voices
That used to bring him great ideas just say
""I'm sorry""
""I'm sorry""
""I'm sorry""
"""
28,4260615,"Watchin' cigarettes burn out
'Til all the neon gets turned out
I was so on fire for you it hurts how
Fast a cigarette can burn out
Just watchin' rivers run
Down the side of my bottle
Almost like it's cryin' my tears
Had the world on a string",And then I lost everything,"Watchin' cigarettes burn out
'Til all the neon gets turned out
I was so on fire for you it hurts how
Fast a cigarette can burn out
Just watchin' rivers run
Down the side of my bottle
Almost like it's cryin' my tears
Had the world on a string
I was so on fire for you it hurts how","Watchin' cigarettes burn out
'Til all the neon gets turned out
I was so on fire for you it hurts how
Fast a cigarette can burn out
Just watchin' rivers run
Down the side of my bottle
Almost like it's cryin' my tears
Had the world on a string
I was so on fire for you it hurts how
Fast a cigarette can burn out
Just"
29,3544344,"You can walk in the door of that bar
And not wonder where they are
You can run into one of their friends
Without asking how they've been
The memories all over that town
Finally ain't tearing you down
No more drinking alone
Staring at that phone",Drive by that house and don't care if they're home,"You can walk in the door of that bar
And not wonder where they are
You can run into one of their friends
Without asking how they've been
The memories all over that town
Finally ain't tearing you down
No more drinking alone
Staring at that phone in your hand
You can walk in the door of that bar
And not wonder where they are","You can walk in the door of that bar
And not wonder where they are
You can run into one of their friends
Without asking how they've been
The memories all over that town
Finally ain't tearing you down
No more drinking alone
Staring at that phone
You can walk in the door of that bar
And not wonder where they are
You can"
30,4702069,"It got so hot last night, I swear
You couldn't hardly breathe
Heat lightning burned the sky like alcohol
I sat on the porch without my shoes
And I watched the car roll by
As the headlights raced
To the corner of the kitchen wall
Mother, dear, your boy is here far across the sea",Waiting for that sacred coal that burns inside of me,"It got so hot last night, I swear
You couldn't hardly breathe
Heat lightning burned the sky like alcohol
I sat on the porch without my shoes
And I watched the car roll by
As the headlights raced
To the corner of the kitchen wall
Mother, dear, your boy is here far across the sea
He'll be home soon, he'll be home soon
He'll be home soon, he","It got so hot last night, I swear
You couldn't hardly breathe
Heat lightning burned the sky like alcohol
I sat on the porch without my shoes
And I watched the car roll by
As the headlights raced
To the corner of the kitchen wall
Mother, dear, your boy is here far across the sea
And he's looking for you
He's looking for you
He's looking for you
"
31,876829,"Well I'm busy not crying and I'm too tied up to care
Not thinking 'bout her is a twenty-four-hour affair
I can't weep and I can't worry
My whole life's just a hustle and hurry
Busy not crying over somebody that ain't there
Early each morning I roll out of bed
Jumpin' all around and a-shakin' my head
Trying to steer clear of the things she left behind",There's a pink pair of slippers and a coffee cup,"Well I'm busy not crying and I'm too tied up to care
Not thinking 'bout her is a twenty-four-hour affair
I can't weep and I can't worry
My whole life's just a hustle and hurry
Busy not crying over somebody that ain't there
Early each morning I roll out of bed
Jumpin' all around and a-shakin' my head
Trying to steer clear of the things she left behind
I can't cry and I can't worry
My whole life's just a hustle and","Well I'm busy not crying and I'm too tied up to care
Not thinking 'bout her is a twenty-four-hour affair
I can't weep and I can't worry
My whole life's just a hustle and hurry
Busy not crying over somebody that ain't there
Early each morning I roll out of bed
Jumpin' all around and a-shakin' my head
Trying to steer clear of the things she left behind
I'm busy not crying and I'm too tied up to care
Not thinking 'bout"
32,6333175,"He stumbles down the city block
Cuz a ramblin' man don't walk
And his soul's on fire as he slips on ice
Stares at all the city lights
To his bleary eyes they're joyous
A riot and a chorus, singin'
Merry Christmas and joy to the world, singin'
Merry Christmas and joy to the world, singin'","Merry Christmas and joy to the world, singin'","He stumbles down the city block
Cuz a ramblin' man don't walk
And his soul's on fire as he slips on ice
Stares at all the city lights
To his bleary eyes they're joyous
A riot and a chorus, singin'
Merry Christmas and joy to the world, singin'
Merry Christmas and joy to the world, singin'","He stumbles down the city block
Cuz a ramblin' man don't walk
And his soul's on fire as he slips on ice
Stares at all the city lights
To his bleary eyes they're joyous
A riot and a chorus, singin'
Merry Christmas and joy to the world, singin'
Merry Christmas and joy to the world, singin'
Merry Christmas and joy to the world, singin'
Merry Christmas and joy to"
33,6483222,"How many days do you stay inside
And pray for better weather?
How many nights do you lie awake
And hope?
Counting the stars and passing cars
Every word, every letter
Every song and every measure takes me back
When you look at the glass",Do you see on through,"How many days do you stay inside
And pray for better weather?
How many nights do you lie awake
And hope?
Counting the stars and passing cars
Every word, every letter
Every song and every measure takes me back
When you look at the glass of my eyes
And I see you, and you, and you, and you, and you","How many days do you stay inside
And pray for better weather?
How many nights do you lie awake
And hope?
Counting the stars and passing cars
Every word, every letter
Every song and every measure takes me back
When you look at the glass in front of me
I can't help but wonder
How many days do you stay inside
"
34,1745422,"Mom got drunk and dad got drunk
At our Christmas party
We were drinkin' champagne punch
And homemade eggnog
Little sister brought her new boyfriend
He was a Mexican
We didn't know what to think of him
'Til he sang Feliz Navidad",Feliz Navidad,"Mom got drunk and dad got drunk
At our Christmas party
We were drinkin' champagne punch
And homemade eggnog
Little sister brought her new boyfriend
He was a Mexican
We didn't know what to think of him
'Til he sang Feliz Navidad
He was a Mexican
We didn't know what to think of him","Mom got drunk and dad got drunk
At our Christmas party
We were drinkin' champagne punch
And homemade eggnog
Little sister brought her new boyfriend
He was a Mexican
We didn't know what to think of him
'Til he sang Feliz Navidad
And we danced all night long
We were drinkin' champagne punch
And homemade eggn"
35,1962088,"Don't hang out with that Morgan boy, that's what Moma said
You'll wind up with a bunch of bad habits and jail or maybe dead
But cars in the front seat aimin' that shotgun
Bout to take a stop sign down
I blow through the four-way
Boom goes the twelve gauge, Moma it's too late now
It's too late to take it back, guess what's done is done
I guess I should have listened but I never listened",Cause that ain't near as fun,"Don't hang out with that Morgan boy, that's what Moma said
You'll wind up with a bunch of bad habits and jail or maybe dead
But cars in the front seat aimin' that shotgun
Bout to take a stop sign down
I blow through the four-way
Boom goes the twelve gauge, Moma it's too late now
It's too late to take it back, guess what's done is done
I guess I should have listened but I never listened
I guess I should have listened but I never listened","Don't hang out with that Morgan boy, that's what Moma said
You'll wind up with a bunch of bad habits and jail or maybe dead
But cars in the front seat aimin' that shotgun
Bout to take a stop sign down
I blow through the four-way
Boom goes the twelve gauge, Moma it's too late now
It's too late to take it back, guess what's done is done
I guess I should have listened but I never listened
I blew through the four-way
Boom goes the twelve gauge, Moma it's"
36,3908497,"There's a big holler tree down the road here from me
Where you, can lay down a dollar or two
You can go around the bend and when you come back again
There's a jug full of good ol' mountain dew
Yeah they call it that ol' mountain dew
And them that refuse it are few
I'll shut up my mug if you fill up my jug
With some good ol' mountain dew","Well my uncle Nort, he's sawed off and short","There's a big holler tree down the road here from me
Where you, can lay down a dollar or two
You can go around the bend and when you come back again
There's a jug full of good ol' mountain dew
Yeah they call it that ol' mountain dew
And them that refuse it are few
I'll shut up my mug if you fill up my jug
With some good ol' mountain dew","There's a big holler tree down the road here from me
Where you, can lay down a dollar or two
You can go around the bend and when you come back again
There's a jug full of good ol' mountain dew
Yeah they call it that ol' mountain dew
And them that refuse it are few
I'll shut up my mug if you fill up my jug
With some good ol' mountain dew
Yeah they call it that ol' mountain dew
And them that refuse it are few
"
