,song_id,input,reference,sm_baseline_output,sm_finetuned_output,lg_baseline_output,lg_finetuned_output
10,210898,"I hear your footsteps down the hall
I check my messages but I don't hear you call
I think of days gone by and now I wonder why you left me
But I can't go on without you without you
Sometimes I wander on my way
Sometimes I just break down and pray
Sometimes I think of you and I don't know what to do
And I wonder how I will go on without you",How I will go on without your love,sometimes I wander on my way Sometimes I just break down and pray Sometimes I think of you and I,Sometimes I wander on my way,i hear your footsteps down the hall i check my messages but I don't hear you,Sometimes I wander on my way
11,721580,"Mama taught us how to sing in harmony
Grandma used to stomp her foot and slap her knee
I can still hear daddy singing
Down by the old mill stream
When uncle Jim played the fiddle
You could hear it talk
You could hear it sing
And it echoed down the mountains",To those Georgia pines,Mama taught us how to sing in harmony Grandma used to stomp her foot and,And it echoed down the mountains,mama taught us how to sing in harmony grandma used to stomp her foot and,And I can still hear daddy singing
12,1110453,"There's a big race down in Dallas
Don't you wish that you were there?
You could bet your bottom dollar
On that iron gray mare
Had a black horse named Delilah
And I raised her on the farm
There was thunder, there was lightnin'
On the day Stewball was born","Won't you bet on Stewball, she might win win win",there's a big race down in Dallas Don't you wish that you were there?,And I raised her on the farm,stewball was born on the day there was thunder and lightenin' Stewball,"There was thunder, there was lightnin'"
13,1783800,"Little girl don't be so quit to give your love so free
Little girl what makes you want to throw yourself with me
Just in your teens you're looking more like twenty one
You run ahead of life when it's only just begun
Don't you know I may never pass this way again
Little girl you'd better go before I'd change my mind
Little girl walk away while you still have the time
It's just a part of growing up someday you'll see",Then you'll wonder what you ever saw in me,Little girl you'd better go before I'd change my mind Little girl walk away while you,Little girl don't be so quit to give your love so free,little girl don't be so quit to give your love so free little girl what makes you want,Little girl you're gonna need me when you're young and
14,3500914,"I made a little bit of money
I fell and I stayed in love
I got some good friends I can sometimes count on
When times get tough
But I got vices in my closet
And foes waiting at my door
I got secrets
I could have done time for",I don't listen to the girl on the movie screen; she's lying,I fell and I stayed in love I got some good friends I can sometimes count on when times,I could have done time for you,i made a little bit of money i fell and i stayed in love,But I don't know what I'm gonna do
15,207634,"Our love affair is bitter sweet
Insecure and incomplete
And I've often wondered why your leaving's been so long delayed
It's all become so complicated
Maybe you feel obligated
And out of sympathy for me you stay
But I had rather live alone
Than live with someone who doesn't love me",And I'd rather have you go than stay,our love affair is bittersweet Insecure and incomplete . I had rather live alone Than live with,I've been waiting for a long time,our love affair is bitter sweet i've often wondered why your leaving's been so long,I've been waiting for you to come home
16,1787566,"I'm for the low man on the totem pole
And I'm for the underdog, God bless his soul
And I'm for the guys still pulling third shift
And the single mom raising her kids
And I'm for the preacher who stay on their knees
And I'm for the sinner who finally believed
And I'm for the farmer with dirt on his hands
And the soldiers who fight for this land",And I'm for the bible,single mom raising her kids is for the preacher who finally believed And I'm for the farmer,I'm for the low man on the totem pole,"i'm for the low man on the totem pole and the underdog, god bless",And I'm for the man who's got a heart of gold
17,4834060,"Walked into the party
Like you walked into a photoshoot
Like a red neck prince charming
In his golden cowboy boots
I fell for you so easy
Yeah, I swore that you could do no wrong
Now you come home breathing whiskey
And your trucks parked on the lawn","You make it hard, hard to love you",walked into the party Like you walked into a photoshoot Like a,And your trucks parked on the lawn,i fell for you so easy i swore that you could do no wrong .,"And you're a savage, a cowboy"
18,4480302,"Can I take your order please?
We’ve got 2 for 1 drinks
No, no, I’m not busy
I can bring you anything
No I don’t need to write it down
Please, I’ve got this down by now
Oh, take your time
I know I would take mine",But I’m waiting on you,"can I take your order please? We’ve got 2 for 1 drinks No, no, I","Oh, take your time",can I take your order please? we’ve got 2 for 1 drinks . can I bring,"If I could, I’d take yours"
19,3225998,"I was rumblin' on the dark side of the city
Drinkin' heavy to bury the pity
This slow, slow track I'm on
When I start, oh it's so hard to stop
I'm gonna drink until I drop
Until every can is gone
Sometimes it's a hit, sometimes it's a sip
Sometimes you take the whole thing down",Vices I found in this town,rumblin' on the dark side of the city Drinkin' heavy to bury the,"Sometimes it's a hit, sometimes it's a si",i was rumblin' on the dark side of the city Drinkin' heavy to,Sometimes you take the whole thing down
20,6254261,"We're all contagious, connected through the air
Fingers crossed and go and get some donuts if you dare
Thousand rolls of toilet paper on the shelf
I'm quarantined from myself
Zoom for your birthday, Zoom for your school
Zoom, Zoom, swimmin' pool, olden rule
Say their names, draw the lines
Kobe, Chadwick, John Prine","Editors, creditors, Redditors, impostors","we're all contagious, connected through the air Fingers crossed and go and get some","I'm a fucker, I'm a","we're all contagious, connected through the air, connected through the air .","Zoom for your birthday, Zoom for your school"
21,7590231,"Just last week I went to prison
To see some boys down on death row
Brought some guitars and my buddies
To play some songs I thought they'd know, hm
I could feel myself tremblin'
When I shook one of their hands
I thought that he would be a monster
It turns out he's a whole lot like I am","Yeah, we talked huntin', we talked fishin'",last week I went to prison to see some boys down on death row Brought some guitars,I'm a fucker and a fucker,just last week i went to prison . to see some boys down on death row .,And I'm gonna try to be a better man
22,2864653,"Two years, to the day
Straight up, an instant connection
You broke, her heart for me
And I let you
History, is telling me
I'm gonna be walking in her shoes
You let, her down for me
Now it's my turn",Should'a known,"you let, her heart for me You let, her down for me Now it's my turn",I'm gonna be walking in her shoes,"two years, to the day Straight up, an instant connection you broke, her heart for me",I'm gonna walk in her shoes
23,2478051,"Long is the green grass
Tall are the pines
How I miss the way you feel
In these arms of mine
Gotta let you know
Don't want to let you go
Sweet is the honey
Soft is the rain",Can you hear me calling,long is the green grass Tall are the pines How I miss the way you feel In these arms,I'm a fucking fucker,long is the green grass tall are the pines how i miss the way you feel .,How I miss the way you feel
24,676102,"Hey Jude, don't make it bad
Take a sad song and make it better
Remember to let her into your heart
Then you can start to make it better
Hey Jude, don't be afraid
You were made to go out and get her
The minute you let her under your skin
Then you begin to make it better","And anytime you feel the pain, hey Jude, refrain","Hey Jude, don't make it bad Take a sad song and make it better Hey Jude","Hey Jude, don't make it bad","hey jude, don't make it bad Take a sad song and make it","Hey Jude, don't make it bad"
25,6609649,"Well, you're back on my doorstep a-crying
Like I cried for all those lonely years
But I can't dry your tears, it's been too long since love was here
And I've already gave you my better years
And so, the pages of time kept right on turning (oh, yes they did)
They never stop for us to harvest the years
And old embers of love kept right on dying
For there was no one to dry my tears",And you're back on my doorsteps a-crying,love kept right on dying For there was no one to dry my tears . the pages of time,And I've already gave you my better years,"i've already given you my better years and so, the pages of time kept right on","Well, I'm back on my doorstep a-crying"
26,691670,"Well the party started early bout a quarter till three
Just a few close friends and my baby and me
We just got started when somebody asked
How long you think this party's going to last
We said all night long all night long
We'll be rocking we'll be rolling
Going to boogie woogie all night long
Well the next door neighbours started raising a fuss",Said you had a party and didn't call us,the party started early bout a quarter till three Just a few close friends and my baby and,Well the party started early bout a quarter till three,the party started early bout a quarter till three Just a few close friends and my baby and,And they said oh no no no no no no no no no
27,6098479,"Taking dimly lit pictures
Of bottles of soy sauce all day
He dimly remembers
That there was a time before he lost his way
There aren't a lot of choices
When you have so many bills to pay
But now the little voices
That used to bring him great ideas just say","""Whore, whore",Taking dimly lit pictures Of bottles of soy sauce all day He dimly remembers that,And he's a fucking man,he's taking dimly lit pictures Of bottles of soy sauce all day .,That he's lost his way
28,4260615,"Watchin' cigarettes burn out
'Til all the neon gets turned out
I was so on fire for you it hurts how
Fast a cigarette can burn out
Just watchin' rivers run
Down the side of my bottle
Almost like it's cryin' my tears
Had the world on a string",And then I lost everything,watchin' cigarettes burn out 'Til all the neon gets turned out I was so on,Watchin' cigarettes burn out,watching cigarettes burn out 'Til all the neon gets turned out i was so on fire,And I was so on fire for you it hurts how
29,3544344,"You can walk in the door of that bar
And not wonder where they are
You can run into one of their friends
Without asking how they've been
The memories all over that town
Finally ain't tearing you down
No more drinking alone
Staring at that phone",Drive by that house and don't care if they're home,you can walk in the door of that bar And not wonder where they are You can run into one,I'm a fucking shit,you can walk in the door of that bar And not wonder where they are . you can run,And wishing you could go back in time
30,4702069,"It got so hot last night, I swear
You couldn't hardly breathe
Heat lightning burned the sky like alcohol
I sat on the porch without my shoes
And I watched the car roll by
As the headlights raced
To the corner of the kitchen wall
Mother, dear, your boy is here far across the sea",Waiting for that sacred coal that burns inside of me,"it got so hot last night, I swear You couldn't breathe Heat lightning burned the sky like","I'm a shit, I'm a s","mother, dear, your boy is here far across the sea, far across the sea .","And he's a good boy, he's"
31,876829,"Well I'm busy not crying and I'm too tied up to care
Not thinking 'bout her is a twenty-four-hour affair
I can't weep and I can't worry
My whole life's just a hustle and hurry
Busy not crying over somebody that ain't there
Early each morning I roll out of bed
Jumpin' all around and a-shakin' my head
Trying to steer clear of the things she left behind",There's a pink pair of slippers and a coffee cup,I'm busy not crying and I'm too tied up to care Not thinking 'bou,I'm a fuckin' girl and I'm,i'm busy not crying and i'm too tied up to care not thinking,I'm busy not crying and I'm too tied to care
32,6333175,"He stumbles down the city block
Cuz a ramblin' man don't walk
And his soul's on fire as he slips on ice
Stares at all the city lights
To his bleary eyes they're joyous
A riot and a chorus, singin'
Merry Christmas and joy to the world, singin'
Merry Christmas and joy to the world, singin'","Merry Christmas and joy to the world, singin'",ramblin' man don't walk and his soul's on fire as he slip,"Merry Christmas and joy to the world, singin'","a riot and a chorus, singin' Merry christmas and joy to the world","Merry Christmas and joy to the world, singin'"
33,6483222,"How many days do you stay inside
And pray for better weather?
How many nights do you lie awake
And hope?
Counting the stars and passing cars
Every word, every letter
Every song and every measure takes me back
When you look at the glass",Do you see on through,how many days do you stay inside And pray for better weather? how many nights do you lie awake,"I'm a man, a man, a man, a man",how many days do you stay inside And pray for better weather? how many nights do you lie awake,When you look in the mirror
34,1745422,"Mom got drunk and dad got drunk
At our Christmas party
We were drinkin' champagne punch
And homemade eggnog
Little sister brought her new boyfriend
He was a Mexican
We didn't know what to think of him
'Til he sang Feliz Navidad",Feliz Navidad,mom got drunk and dad got drunk At our Christmas party We were drinkin' champagne punch And homemade,"He was a Mexican, he was a Mexican",mom got drunk and dad got drunk at our christmas party . little sister brought her new boyfriend,And we all laughed and we all laughed and we all laughed
35,1962088,"Don't hang out with that Morgan boy, that's what Moma said
You'll wind up with a bunch of bad habits and jail or maybe dead
But cars in the front seat aimin' that shotgun
Bout to take a stop sign down
I blow through the four-way
Boom goes the twelve gauge, Moma it's too late now
It's too late to take it back, guess what's done is done
I guess I should have listened but I never listened",Cause that ain't near as fun,Moma said You'll wind up with a bunch of bad habits and jail or maybe dead,"I don't know what I'm doing, I'm not","moma said don't hang out with that Morgan boy, that's what moma said","Don't hang out with that Morgan boy, that's Moma"
36,3908497,"There's a big holler tree down the road here from me
Where you, can lay down a dollar or two
You can go around the bend and when you come back again
There's a jug full of good ol' mountain dew
Yeah they call it that ol' mountain dew
And them that refuse it are few
I'll shut up my mug if you fill up my jug
With some good ol' mountain dew","Well my uncle Nort, he's sawed off and short","there's a big holler tree down the road here from me Where you, can",And they call it that ol' mountain dew,i'll shut up my mug if you fill up my jug with some,Yeah they call it that ol' mountain dew
37,989723,"I go walking under a paper moon
And all the birds are singing
Singing you a pretty tune
All the constellations and all the stars above
They all start to whistling
They start singing along
The world is but a monster and I'm not scared at all
I'm floating through the heavens, the world is in my arms","Oh, rainy day don't follow me",all the birds are singing Singing you a pretty tune All the constellations and all the,"I'm floating through the heavens, the world is in my arms",the world is but a monster and i'm not scared at all . i,"I'm floating through the heavens, the world is in my arms"
38,3764269,"Day after day
Tell my self you never meant the words that you say
Night after night
I lie here alone can't get you outta my head
Like a fool i let our love slip away
You left me here
What more can i say
I missed my chance i lost my turn",My ship sank i crashed and burn,day after day Tell my self you never meant the words that you say Night after night I lie here,I lost my turn i lost my turn i lost my turn,day after day Tell my self you never meant the words that you say Night after night i lie,You left me here what more can i say
39,3677117,"Well I was sittin' at a table
At a little club downtown
Playin' songs on the jukebox
And pourin' whiskey down
When I heard a sweet voice sayin'
""Would you like some company?""
And I had to tell her
This is just between",An old memory and me,I was sitting at a table at a little club downtown Playin' songs on the,And I'm a fuckin' fuckin,i was sittin' at a table at a little club downtown Playin',And I don't know what to say
40,6592725,"I've been drinking too much without you
The lonely troubled kind
I’ve been staying up too late without you
Darling I've been biding all my time
Well don't you ever think that we are foolish
Running from the only love we’ve found
Well I don't even care about tomorrow
You're the drug I need I want all of you now",Well I'll drive all night I'll find you at the end love,I've been drinking too much without you The lonely troubled kind I’ve been staying up,I've been drinking too much without you,i've been drinking too much without you the lonely troubled kind i've been,I want all of you now
41,4109248,"A little bird come and sat upon my window sill
It sat there through the fallin' rain
I watched that little bird upon my window sill
And I saw my thoughts of you come by again
Picture of my face reflected on the pane
Is that tears I see or is it rain?
I remember how we talked before we said goodbye
Too young to know this world outside our door",So we laughed and said our love was free like birds to fly the wind,a little bird come and sat there through the fallin' rain I watched that little,I remember how we talked before we said goodbye,i remember how we talked before we said goodbye Too young to know this world outside our door,Is that rain I see or is it rain?
42,322125,"On the shores of Gitchgoomy by the shining Big Sea water
Hiawatha old and graying listened to the older prophet listened to Lagu
And the young men and the women from the land of Ojibways
From the land of the Dakotas from the woodlands and the prairies
Stood and listened to the prophet heard lagu tell Hiawatha
I have seen, he said, A water bigger than the Big sea water
Broader than the Gitchgoomy bitter so that none cold drink it
Salty so that none would use it",Hiawatha then spoke to them,"listened to the prophet heard lagu tell Hiawatha I have seen, he said","I have seen, I have seen, I have seen, I have seen",Hiawatha old and graying listened to the older prophet listened to lagu,And the young men and the women from the land of Ojibways
43,5663848,"Feeling comes, then it goes
I'm thinking fast, moving slow
Wish I could, then I don't
I probably will, but I hope I won't
Give into the pressure
All the pressure
Happiness, hide and seek
I wear my hood, am I diseased?","Climb too high, breathe it in","Feeling comes, then it goes I'm thinking fast, moving slow Wish I could, then","Feeling comes, then it goes","i'm thinking fast, moving slow wish i could, then i don't","I'm a liar, I'm a"
44,6771620,"Walk through my door
You find me alone
With a hand on the whisky
And a hand on the phone
I think you don't care
But I love you for sure
My heart will not listen
But it wants to be heard",You just can't see what I've seen since I've known you,walk through my door You find me alone With a hand on the whisky And a hand,"I'm a man, a man, a man",walk through my door i think you don't care but i love you for sure,And I know you don't care
45,1111653,"I left Houston, Texas in a Gulf Coast Hurricane
I was blowed down by tornadoes, washed up by the rain
My pappy wasn't happy with me, he told me to go
I stole my daddy's Cadillac, I headed down the road
I had a grin from ear to ear with each and every mile
I'm headed for the border, man, I'm goin' down in style
I hit Corpus Christi and the wind was at my back
I drove them women crazy in my daddy's Cadillac","I'd cruise them down the boulevard, treated 'em like queens","hurricane I left Houston, Texas in a hurricane I was blowed down by tornadoes","I'm going down the road, man, I'm goin","i left Houston, texas in a Gulf Coast hurricane I was blowed","I'm headed for the border, man, I'm goin"
46,2923973,"You say, ""What if I hurt you? What if I leave you?
What if I find somebody else and I don't need you?
What if this goes south? What if I mess you up?""
You say, ""What if I break your heart in two, then what?""
Well, I hear you, girl, I feel you, girl, but not so fast
Before you make your mind up, I gotta ask
What if I was made for you and you were made for me?
What if this is it? What if it's meant to be?",What if I ain't one of them fools just playin' some game?,"""What if I hurt you? What if I leave you?"" You say, ""What",What if I was made for you and you were made for me?,"i hear you, girl, I feel you, girl, but not so fast before you make",What if we're meant to be?
47,1349688,"Well, you heard the story of the Hot Rod race that fatal day
When a Ford and a Mercury went out to play
Well this is the inside story, and I'm here to say
I was the kid that was drivin' that Model A
It's got a Lincoln motor and it's really souped up
And that Model A body makes it look like a pup
It's got 12 cylinders, uses them all
With an overdrive that just won't stall",It's got a 4-barrel carb and a dual exhaust,the story of the hot rod race that fatal day when a Ford and a Mercury went out,It's got a Lincoln motor and it's really souped up,the hot rod race that fatal day When a Ford and a mercury went out to play,And that Model A body makes it look like a pup
48,716401,"There I was ten years old
Waiting in my room for him to come home
I just knew he'd be so mad
Though I begged my mother not to, she told my dad
There was no denying I let him down
But instead of being angry
He put his arms around me and said
In the sunlight or the rain, brightest nights or darkest days",I'll always feel the same way,ten years old Waiting in my room for him to come home I knew he'd,"I'm a ten-year-old boy, I'm",i was ten years old when my dad came home from work . instead of being angry,I'll be there for you
49,6248129,"10 PM, we're here again
After a bottle of red
One look at you, I'm in the mood
But we ain't goin' to bed just yet
Our favorite song, I'll turn it on
And you get a candle lit
We're dancing in the living room
Just me and you","Yeah, there's nowhere else I'd rather be","we're here again After a bottle of red One look at you, I'm in",We're dancing in the living room,"10 PM, we're here again after a bottle of red one look, i'",We're dancing in the living room
50,5052406,"This house is a temple
To everything I couldn't fix
And all of my shortcomings
And all of your shortcomings
Hallelujah, the king is gone
Hallelujah, damn it all
Hallelujah, the king is gone
Hallelujah, damn it all",It's a long way to Memphis,this house is a temple To everything I couldn't fix And all of your shortcomings Halle,"Hallelujah, the king is gone","the king is gone . hallelujah, the king is gone .","Hallelujah, the king is gone"
51,6183462,"All of my heroes keep dying
Lord, may they rest in peace
So here's to the songs that will always live on
From now until eternity
Well, as a kid, I would sing to ""Islands In The Stream""
And all that I wanted was to dance with somebody
Had a grunge flannel phase in my ""Teen Spirit"" days
Georgia plates on my truck, while playing ""California Love,"" oh",All of my heroes are dying,"all of my heroes keep dying Lord, may they rest in peace So here's to the songs","And I'd sing to ""Islands In The Stream""","""all of my heroes keep dying Lord, may they rest in peace,"" says scott","I'm a savage, I'm a"
52,4124617,"I am an old man
But feel like a young man
I wish I knew then
What I know now
I say
They say youth is wasted on the young
Don't know 'bout that, I'm sure they havin' fun
But oh lord if I knew then",The secrets that I know now,"lord says youth is wasted on the young Don't know 'bout that,",What I know now,i am an old man but feel like a young man i wish i knew then,What I know now I say
53,3581207,"I miss your kiss
What do you think of this?
Oh, its much too much to miss
And it goes like this
Well this is this
And that is that
Get off my lap
You silly cat",I know my sister is a brat,"I miss your kiss What do you think of this? Oh, its much too much to miss And",I miss your kiss,i miss your kiss . i miss your kiss . i miss your kiss,I'm gonna kiss you
54,4031967,"Never saw it coming, never seen nothing like it
Kinda like a drug I didn't need 'till I tried it one night
Now I want it all the time
Only thing on my mind yeah it drives me crazy
Gave you my heart even though we both knew you would break it
It ain't right
Oh but I can't lie
You get me every time",We go out in style,"never saw it coming, never seen nothing like it Kinda like a drug I didn't",You get me every time,"never saw it coming, never seen nothing like it Kinda like a drug i didn'",You get me every time
55,3791404,"Yeah, Colt Ford
The Idaho Vandals are here
This is how we do it
This is a tailgate party
Y'all better come on, it's goin' down
We comin' to get ya
We 'bout to back it on up in the parkin' lot
Got the beer on ice and the grill is hot",On your mark get set baby ready or not,ya We comin' to back it on up in the parkin' lot Got the beer on ice and the,We comin' to get ya,colt ford and the idaho vanals are here for a tailgate party . 'bou,On your mark get set baby ready or not
56,4966630,"I call your name into the wind
I lost my love and my only friend
I cry myself to sleep at night
But I wake up laughing and I don't know why
I crash my boat into the shores
(Breaking up, you're breaking up)
I held my head, I held my course
(Waking up, you're waking up)",I call your name into the wind,I wake up laughing and I don't know why I crash my boat into the shores,"(Waking up, you're breaking up)",i call your name into the wind i lost my love and my only friend i cry,"(Breaking up, you're breaking up)"
57,1878564,"He came riding in on the sunrise
Of a hot west Texas day
A fancy man in a painted wagon
With some fancy things to say
Looks like you folks need some water
Well, water is my game
And for the small price of $100
I betcha I can make it rain","Step back, non believers",he came riding in on the sunrise of a hot west Texas day . he came,I can make it rain,water is my game and for the small price of $100 i betcha i can make,"I'll make it rain, I'll make it rain"
58,4898516,"Adam was lonely
And God sent him Eve
He said, ""Let there be a woman
To fill this man's needs""
Now your name's not Eve
And our home is no garden
But you're what God intended
When he said, ""Let there be a woman""",Let there be a woman,"Adam was lonely And God sent him Eve He said, ""Let there be a woman""",To fill this man's needs,"Adam was lonely And God sent him Eve He said, ""Let there be a woman To",To fill this man's needs
59,194588,"Sailed out of Biscayne Bay
Headed for the island
No map, no plans, no place to be
One broken heart to fix
So many memories
One photograph of you and me
I may be somewhere east of nowhere
Somewhere west of a town",That sits just north of an unknown latitude,"sailed out of Biscayne Bay Headed for the island No map, no plans,",Somewhere west of a town,"sailed out of biscayne bay Headed for the island No map, no plans,",Somewhere in the middle of nowhere
60,5977183,"Lights that twinkle red and green
Charlie Brown on the TV screen
Hugs from friends and family
That's what we need right now
Buttons on a winter coat
Truck tires down a snowy road
That's the sound of coming home
That's what we need to right now",This world could use a little healing,the sound of coming home That's what we need right now Buttons on a winter coat,"I'm a fucker, a fucker,",lights that twinkle red and green Charlie brown on the tv screen Hugs from friends and,That's what we need right now
61,3264102,"Why you waiting so long
Waiting so long
Waiting so long, baby
Why you waiting so long
Waiting so long
Driving yourself crazy
With a head and a heart full of shame
With a head and a heart full of shame",Why you waiting so long,"why you waiting so long Waiting so long Waiting so long Waiting so long, baby Why","I'm a fucker, a fucker,",why you waiting so long Waiting so long Waiting so long . driving yourself crazy with,Why you waiting so long
62,5849916,"The way I talk, I guess I got it from my pops
Product of some kneelin' down
In a town where the doors don't lock
And there's a million other people like me
From a scene a little more podunk than pop
I didn't choose being born in the sticks
And I'll be damned if I sound like something I ain't
For some folks, a backroad gets old","But for me, it just can't","the way I talk, I guess I got it from my pops Product of some kneelin",And I'll be damned if I sound like something I,"the way i talk, i guess i got it from my pops Product of some","But for me, a backroad gets old"
63,3936821,"Lord on bended knee I'm begging you
Let me feel just a little of what you went through
Oh I want to know just how great the cost
Let me live let me live at the foot of the cross
With broken heart Lord show me the way
To have more compassion for those gone astray
Oh give me desire for souls that are lost
Let me live let me live at the foot of the cross",Please let me live where you died for me,Lord on bended knee I'm begging you Let me feel just how great the cost,With broken heart,Lord on bended knee i'm begging you let me feel just a little,Lord on bended knee I'm begging you
64,566348,"I sure could use an attaboy or a big old high five
I'd love to hear ""You're killing it, dude"", yeah, it's been a long time
Since I hit one out of the park, or nailed it as they say
I guess I've been in a dry spell but that's about to change
'Cause every week has a weekend, by this time Friday night
I'll be done with my third can of cold Bud Light
And I'll be crushin' it, yeah, I'll be crushin' it
They say your baby's mad cause you told her that you'd hang some pictures for her",You know the ones she framed late last spring of you and her in Florida,"'Cause every week has a weekend, by this time Friday night I'll","And I'll be crushin' it, yeah, I'll",i sure could use an attaboy or a big old high five i'd,"But I don't think she's mad, she's mad"
65,3130849,"Ahh Yeah
What's That Smell?
Wanda is a woman she works down the hall
Shows up on time, she's like balls to the wall
She went out to lunch with her High School Friends
'Bout three hours later she came rollin' back in
Well, the boss man really jumped her
Son he wasn't joking",Everybody in the office knew Wanda had been smokin',"Wanda is a woman she works down the hall Shows up on time, she's",She's a woman she works down the hall,the boss man really jumped her son he wasn't joking . he,"Well, he jumped her son he was joking"
66,2469168,"I gave up on running around
She gave up on me
And gave up all the cocaine
Now it's just me and the whiskey
I gave up my self control
All my sanity
I gave up all my rowdy friends
Now it's just me and the whiskey","Keep the glass, hand me the bottle",I gave up on running around She gave up on me And gave up all the cocaine Now it',I gave up my self control,i gave up on running around she gave up on me and gave up all the cocaine now it,I gave up on my dreams
67,325307,"My name is Joe Roberts, I work for the state
I'm a sergeant out on Perenville barracks number 8
I've always done an honest job, honest as I could
Got a brother named Frankie, Frankie isn't no good
Ever since we were young kids, it's been the same come down
I'd get a call on the short wave, Frankie's in trouble downtown
Well, if it was any other man, I'd put him straight away
But sometimes when it's your brother, you look the other way","Yeah, me and Frankie laughing and drinking, nothing feels better than blood on blood","Frankie isn't no good Ever since we were young kids, it's been","Frankie, Frankie isn't no good",a brother named 'frankie' is in trouble downtown . 'if,"I'm Joe Roberts, I'm Joe Roberts"
