,song_id,input,reference,sm_baseline_output,sm_finetuned_output,lg_baseline_output,lg_finetuned_output
19,3225998,"I was rumblin' on the dark side of the city
Drinkin' heavy to bury the pity
This slow, slow track I'm on
When I start, oh it's so hard to stop
I'm gonna drink until I drop
Until every can is gone
Sometimes it's a hit, sometimes it's a sip
Sometimes you take the whole thing down",Vices I found in this town,rumblin' on the dark side of the city Drinkin' heavy to bury the,"Sometimes it's a hit, sometimes it's a si",the rumblin' dude rumblin' on the dark side of the city Drinkin,Sometimes you just take a sip
20,6254261,"We're all contagious, connected through the air
Fingers crossed and go and get some donuts if you dare
Thousand rolls of toilet paper on the shelf
I'm quarantined from myself
Zoom for your birthday, Zoom for your school
Zoom, Zoom, swimmin' pool, olden rule
Say their names, draw the lines
Kobe, Chadwick, John Prine","Editors, creditors, Redditors, impostors","I'm quarantined from myself Zoom for your birthday, Zoom for your school, Zoom for","We're all contagious, connected through the air",contagious contagious contagious contagious contagious contagious contag,"We're all contagious, connected through the air"
21,7590231,"Just last week I went to prison
To see some boys down on death row
Brought some guitars and my buddies
To play some songs I thought they'd know, hm
I could feel myself tremblin'
When I shook one of their hands
I thought that he would be a monster
It turns out he's a whole lot like I am","Yeah, we talked huntin', we talked fishin'",last week I went to prison to see some boys down on death row Brought some guitars,It turns out he's a whole lot like I am,prisoner i went to saw some boys down on death row . it turns out he,But he's a whole lot like me
22,2864653,"Two years, to the day
Straight up, an instant connection
You broke, her heart for me
And I let you
History, is telling me
I'm gonna be walking in her shoes
You let, her down for me
Now it's my turn",Should'a known,"you let, her heart for me And I let you history is telling me I'm gonna",You're gonna be walking in her shoes,"two years, to the day Straight up, an instant connection you broke, her heart for me",To walk in her shoes
23,2478051,"Long is the green grass
Tall are the pines
How I miss the way you feel
In these arms of mine
Gotta let you know
Don't want to let you go
Sweet is the honey
Soft is the rain",Can you hear me calling,long is the green grass Tall are the pines How I miss the way you feel In these arms,Sweet is the honey,i miss the way you feel - how i miss the way you feel .,Sweet is the honey
24,676102,"Hey Jude, don't make it bad
Take a sad song and make it better
Remember to let her into your heart
Then you can start to make it better
Hey Jude, don't be afraid
You were made to go out and get her
The minute you let her under your skin
Then you begin to make it better","And anytime you feel the pain, hey Jude, refrain","Hey Jude, don't make it bad Take a sad song and make it better Hey Jude","Hey Jude, don't make it bad","hey jude, don't make it bad Take a sad song and make it","Hey Jude, don't make it bad"
25,6609649,"Well, you're back on my doorstep a-crying
Like I cried for all those lonely years
But I can't dry your tears, it's been too long since love was here
And I've already gave you my better years
And so, the pages of time kept right on turning (oh, yes they did)
They never stop for us to harvest the years
And old embers of love kept right on dying
For there was no one to dry my tears",And you're back on my doorsteps a-crying,love kept right on dying For embers of love kept right on dying . it's,"But I can't dry your tears, it's been too long since love was here",'you're back on my doorstep a-crying' 'it',"Well, I'm back on my doorstep a-crying"
26,691670,"Well the party started early bout a quarter till three
Just a few close friends and my baby and me
We just got started when somebody asked
How long you think this party's going to last
We said all night long all night long
We'll be rocking we'll be rolling
Going to boogie woogie all night long
Well the next door neighbours started raising a fuss",Said you had a party and didn't call us,the party started early bout a quarter till three Just a few close friends and my baby and,Well the party started early bout a quarter till three,the party started early bout a quarter till three Just a few close friends and my baby and,They said how long do you think this party's gonna last
27,6098479,"Taking dimly lit pictures
Of bottles of soy sauce all day
He dimly remembers
That there was a time before he lost his way
There aren't a lot of choices
When you have so many bills to pay
But now the little voices
That used to bring him great ideas just say","""Whore, whore",when the little voices that used to bring him great ideas just say the little voices that used to bring,And now the little voices,a man who used to take great pictures of bottles of soy sauce all day has lost his,He's just trying to make ends meet
28,4260615,"Watchin' cigarettes burn out
'Til all the neon gets turned out
I was so on fire for you it hurts how
Fast a cigarette can burn out
Just watchin' rivers run
Down the side of my bottle
Almost like it's cryin' my tears
Had the world on a string",And then I lost everything,watchin' cigarettes burn out 'Til all the neon gets turned out I was so on,Watchin' cigarettes burn out,i was so on fire for you it hurts how fast a cigarette can burn out,Had the world on a string
29,3544344,"You can walk in the door of that bar
And not wonder where they are
You can run into one of their friends
Without asking how they've been
The memories all over that town
Finally ain't tearing you down
No more drinking alone
Staring at that phone",Drive by that house and don't care if they're home,you can walk in the door of that bar And not wonder where they are You can run into one,Isn't it just a night?,the memories all over that town finally ain't tearing you down no more drinking alone,You can walk up to the door of that bar
30,4702069,"It got so hot last night, I swear
You couldn't hardly breathe
Heat lightning burned the sky like alcohol
I sat on the porch without my shoes
And I watched the car roll by
As the headlights raced
To the corner of the kitchen wall
Mother, dear, your boy is here far across the sea",Waiting for that sacred coal that burns inside of me,"it got so hot last night, I swear You couldn't breathe Heat lightning burned the sky like",You'll be the one who's here for you,"it got so hot last night, i swear You couldn't hardly breathe heat lightning burned",And I can't wait until he's home
31,876829,"Well I'm busy not crying and I'm too tied up to care
Not thinking 'bout her is a twenty-four-hour affair
I can't weep and I can't worry
My whole life's just a hustle and hurry
Busy not crying over somebody that ain't there
Early each morning I roll out of bed
Jumpin' all around and a-shakin' my head
Trying to steer clear of the things she left behind",There's a pink pair of slippers and a coffee cup,I'm busy not crying and I'm too tied up to care Not thinking 'bou,Well I'm busy not crying and I'm too tied up to,i'm busy not crying and i'm too tied up to care not thinking,But I can't help thinkin' 'bout all the
32,6333175,"He stumbles down the city block
Cuz a ramblin' man don't walk
And his soul's on fire as he slips on ice
Stares at all the city lights
To his bleary eyes they're joyous
A riot and a chorus, singin'
Merry Christmas and joy to the world, singin'
Merry Christmas and joy to the world, singin'","Merry Christmas and joy to the world, singin'","singin' Merry Christmas and joy to the world, singin' Merry Christmas and joy to the","Merry Christmas and joy to the world, singin'",he stumbles down the city block cuz a ramblin' man don't,"Merry Christmas and joy to the world, singin'"
33,6483222,"How many days do you stay inside
And pray for better weather?
How many nights do you lie awake
And hope?
Counting the stars and passing cars
Every word, every letter
Every song and every measure takes me back
When you look at the glass",Do you see on through,how many days do you stay inside And pray for better weather? how many nights do you lie awake,What’s your heart? What's your heart?,how many days do you stay inside And pray for better weather? how many nights do you lie awake,There's a smile on your face
34,1745422,"Mom got drunk and dad got drunk
At our Christmas party
We were drinkin' champagne punch
And homemade eggnog
Little sister brought her new boyfriend
He was a Mexican
We didn't know what to think of him
'Til he sang Feliz Navidad",Feliz Navidad,mom got drunk and dad got drunk We were drinkin' champagne punch And homemade eggnog,"But he's a Mexican, he's a",mom got drunk and dad got drunk At our christmas party We were drinkin' champagne punch And homemade,And we drank a bottle of tequila
35,1962088,"Don't hang out with that Morgan boy, that's what Moma said
You'll wind up with a bunch of bad habits and jail or maybe dead
But cars in the front seat aimin' that shotgun
Bout to take a stop sign down
I blow through the four-way
Boom goes the twelve gauge, Moma it's too late now
It's too late to take it back, guess what's done is done
I guess I should have listened but I never listened",Cause that ain't near as fun,Moma said You'll wind up with a bunch of bad habits and jail or maybe dead,"Don't hang out with that Morgan boy, that's what Moma said","moma said don't hang out with that Morgan boy, that's what moma said","Don't hang out with that Morgan boy, that's Moma"
36,3908497,"There's a big holler tree down the road here from me
Where you, can lay down a dollar or two
You can go around the bend and when you come back again
There's a jug full of good ol' mountain dew
Yeah they call it that ol' mountain dew
And them that refuse it are few
I'll shut up my mug if you fill up my jug
With some good ol' mountain dew","Well my uncle Nort, he's sawed off and short","there's a big holler tree down the road from me Where you, can lay",They call it that ol' mountain dew,a big holler tree down the road from me where you can lay down a dollar,Yeah they call it that ol' mountain dew
37,989723,"I go walking under a paper moon
And all the birds are singing
Singing you a pretty tune
All the constellations and all the stars above
They all start to whistling
They start singing along
The world is but a monster and I'm not scared at all
I'm floating through the heavens, the world is in my arms","Oh, rainy day don't follow me",all the birds are singing a pretty tune All the constellations and all the stars above They start,"I'm floating through the heavens, the world is in my arms",i go walking under a paper moon And all the birds are singing . the world is,The world is but a monster and I'm not scared at all
38,3764269,"Day after day
Tell my self you never meant the words that you say
Night after night
I lie here alone can't get you outta my head
Like a fool i let our love slip away
You left me here
What more can i say
I missed my chance i lost my turn",My ship sank i crashed and burn,Tell my self you never meant the words that you say Night after night I lie here alone can',I lost my love i lost my turn,day after day Tell my self you never meant the words that you say Night after night i lie,I missed my chance i lost my turn
39,3677117,"Well I was sittin' at a table
At a little club downtown
Playin' songs on the jukebox
And pourin' whiskey down
When I heard a sweet voice sayin'
""Would you like some company?""
And I had to tell her
This is just between",An old memory and me,I was sitting at a table At a little club downtown Playin' songs on the,Well I was sitting at a table at a little club downtown,i was sittin' at a table at a little club downtown Playin',And a girl that I've known for a long time
40,6592725,"I've been drinking too much without you
The lonely troubled kind
I’ve been staying up too late without you
Darling I've been biding all my time
Well don't you ever think that we are foolish
Running from the only love we’ve found
Well I don't even care about tomorrow
You're the drug I need I want all of you now",Well I'll drive all night I'll find you at the end love,I've been drinking too much without you The lonely troubled kind I’ve been staying up,You're the drug I need,i've been drinking too much without you the lonely troubled kind i've been,I want all of you now
41,4109248,"A little bird come and sat upon my window sill
It sat there through the fallin' rain
I watched that little bird upon my window sill
And I saw my thoughts of you come by again
Picture of my face reflected on the pane
Is that tears I see or is it rain?
I remember how we talked before we said goodbye
Too young to know this world outside our door",So we laughed and said our love was free like birds to fly the wind,a little bird came and sat upon my window sill It sat there through,I watched that little bird come and sat upon my window sill,i remember how we talked before we said goodbye Too young to know this world outside our door,Is it rain or is it sunshine?
42,322125,"On the shores of Gitchgoomy by the shining Big Sea water
Hiawatha old and graying listened to the older prophet listened to Lagu
And the young men and the women from the land of Ojibways
From the land of the Dakotas from the woodlands and the prairies
Stood and listened to the prophet heard lagu tell Hiawatha
I have seen, he said, A water bigger than the Big sea water
Broader than the Gitchgoomy bitter so that none cold drink it
Salty so that none would use it",Hiawatha then spoke to them,"the prophet heard lagu tell Hiawatha I have seen, listened to the prophet",And the young men and the women from the land of Ojib,Hiawatha old and graying listened to the older prophet listened to lagu,There was a water bigger than the Big sea water
43,5663848,"Feeling comes, then it goes
I'm thinking fast, moving slow
Wish I could, then I don't
I probably will, but I hope I won't
Give into the pressure
All the pressure
Happiness, hide and seek
I wear my hood, am I diseased?","Climb too high, breathe it in","Feeling comes, then it goes I'm thinking fast, moving slow Wish I could, then","Feeling comes, then it goes","feeling comes, then it goes i'm thinking fast, then it goes i'm",I don't know
44,6771620,"Walk through my door
You find me alone
With a hand on the whisky
And a hand on the phone
I think you don't care
But I love you for sure
My heart will not listen
But it wants to be heard",You just can't see what I've seen since I've known you,walk through my door You find me alone With a hand on the whisky And a hand,But it wants to be heard,walk through my door i think you don't care but i love you for sure,But I don't know what to say
45,1111653,"I left Houston, Texas in a Gulf Coast Hurricane
I was blowed down by tornadoes, washed up by the rain
My pappy wasn't happy with me, he told me to go
I stole my daddy's Cadillac, I headed down the road
I had a grin from ear to ear with each and every mile
I'm headed for the border, man, I'm goin' down in style
I hit Corpus Christi and the wind was at my back
I drove them women crazy in my daddy's Cadillac","I'd cruise them down the boulevard, treated 'em like queens","hurricane I left Houston, Texas in a hurricane I was blowed down by tornadoes","I left Houston, Texas in a Gulf Coast Hurricane","i left Houston, texas in a Gulf Coast hurricane I was blowed",I got a grin from ear to ear with each and
46,2923973,"You say, ""What if I hurt you? What if I leave you?
What if I find somebody else and I don't need you?
What if this goes south? What if I mess you up?""
You say, ""What if I break your heart in two, then what?""
Well, I hear you, girl, I feel you, girl, but not so fast
Before you make your mind up, I gotta ask
What if I was made for you and you were made for me?
What if this is it? What if it's meant to be?",What if I ain't one of them fools just playin' some game?,"""What if I hurt you? What if I leave you?"" ""What if I",What if I was made for you and you were made for me?,"""what if i break your heart in two, then what?"" you ask yourself .",What if I was made for you and you was made for me?
47,1349688,"Well, you heard the story of the Hot Rod race that fatal day
When a Ford and a Mercury went out to play
Well this is the inside story, and I'm here to say
I was the kid that was drivin' that Model A
It's got a Lincoln motor and it's really souped up
And that Model A body makes it look like a pup
It's got 12 cylinders, uses them all
With an overdrive that just won't stall",It's got a 4-barrel carb and a dual exhaust,"it's got a Lincoln motor and it's got 12 cylinders, uses them",It's got a Lincoln motor and it's really souped up,the hot rod race that fatal day When a Ford and a mercury went out to play,And the car's got a six speed manual transmission
48,716401,"There I was ten years old
Waiting in my room for him to come home
I just knew he'd be so mad
Though I begged my mother not to, she told my dad
There was no denying I let him down
But instead of being angry
He put his arms around me and said
In the sunlight or the rain, brightest nights or darkest days",I'll always feel the same way,ten years old Waiting in my room for him to come home I knew he'd,"If I had a dream, I'd be so mad",a father tells a 10-year-old girl that he loves her regardless of how,He'll be there for you
49,6248129,"10 PM, we're here again
After a bottle of red
One look at you, I'm in the mood
But we ain't goin' to bed just yet
Our favorite song, I'll turn it on
And you get a candle lit
We're dancing in the living room
Just me and you","Yeah, there's nowhere else I'd rather be","our favorite song, I'll turn it on And you get a candle lit We're",And we're on the dance floor,"10 PM, we're here again after a bottle of red one look, i'",We're going to make love tonight
50,5052406,"This house is a temple
To everything I couldn't fix
And all of my shortcomings
And all of your shortcomings
Hallelujah, the king is gone
Hallelujah, damn it all
Hallelujah, the king is gone
Hallelujah, damn it all",It's a long way to Memphis,this house is a temple To everything I couldn't fix And all of your shortcomings Halle,"Hallelujah, the king is gone",this house is a temple To everything i couldn't fix And all of your shortcomings,"Hallelujah, the king is gone"
51,6183462,"All of my heroes keep dying
Lord, may they rest in peace
So here's to the songs that will always live on
From now until eternity
Well, as a kid, I would sing to ""Islands In The Stream""
And all that I wanted was to dance with somebody
Had a grunge flannel phase in my ""Teen Spirit"" days
Georgia plates on my truck, while playing ""California Love,"" oh",All of my heroes are dying,"all of my heroes keep dying Lord, may they rest in peace So here's to the songs",And I listened to the songs that I'd never dreamed of,"eric liu: all of my heroes keep dying Lord, may they rest in","And I'd sing along, oh, oh,"
52,4124617,"I am an old man
But feel like a young man
I wish I knew then
What I know now
I say
They say youth is wasted on the young
Don't know 'bout that, I'm sure they havin' fun
But oh lord if I knew then",The secrets that I know now,I am an old man but feel like a young man I wish I knew then What I know,I wish I knew then,old man feels like a young man i wish I knew then what i know now,What I know now I say
53,3581207,"I miss your kiss
What do you think of this?
Oh, its much too much to miss
And it goes like this
Well this is this
And that is that
Get off my lap
You silly cat",I know my sister is a brat,"I miss your kiss What do you think of this? Oh, its much too much to miss And",Well that is that,cat doesn't know what he's missing . he's licking,You're not a cat at all
54,4031967,"Never saw it coming, never seen nothing like it
Kinda like a drug I didn't need 'till I tried it one night
Now I want it all the time
Only thing on my mind yeah it drives me crazy
Gave you my heart even though we both knew you would break it
It ain't right
Oh but I can't lie
You get me every time",We go out in style,"never saw it coming, never seen nothing like it Kinda like a drug I didn't","I don't need you, I don't need you","never saw it coming, never seen nothing like it Kinda like a drug i didn'",I don't know what I'm gonna do
55,3791404,"Yeah, Colt Ford
The Idaho Vandals are here
This is how we do it
This is a tailgate party
Y'all better come on, it's goin' down
We comin' to get ya
We 'bout to back it on up in the parkin' lot
Got the beer on ice and the grill is hot",On your mark get set baby ready or not,we comin' to back it up in the parkin' lot Got the beer on ice and the grill is hot,Got the beer on ice and the grill is hot,colt ford's idaho vandals are at a tailgate party . the vand,On your mark get set baby ready or not
56,4966630,"I call your name into the wind
I lost my love and my only friend
I cry myself to sleep at night
But I wake up laughing and I don't know why
I crash my boat into the shores
(Breaking up, you're breaking up)
I held my head, I held my course
(Waking up, you're waking up)",I call your name into the wind,boat crashed into the shores of britain's iraq in,"(Waking up, you're breaking up)",i call your name into the wind i lost my love and my only friend i cry,"I held my head, I held my course"
57,1878564,"He came riding in on the sunrise
Of a hot west Texas day
A fancy man in a painted wagon
With some fancy things to say
Looks like you folks need some water
Well, water is my game
And for the small price of $100
I betcha I can make it rain","Step back, non believers",he came riding in on the sunrise of a hot west Texas day . he came,And if I can’t make it rain,he came riding in on the sunrise Of a hot west texas day .,And for the small price of $100 I betcha I can make it
58,4898516,"Adam was lonely
And God sent him Eve
He said, ""Let there be a woman
To fill this man's needs""
Now your name's not Eve
And our home is no garden
But you're what God intended
When he said, ""Let there be a woman""",Let there be a woman,"Adam was lonely And God sent him Eve He said, ""Let there be a woman""","He said, ""Let there be a woman""","eve was lonely And God sent him . he said, ""let there be",To fill this man's needs
59,194588,"Sailed out of Biscayne Bay
Headed for the island
No map, no plans, no place to be
One broken heart to fix
So many memories
One photograph of you and me
I may be somewhere east of nowhere
Somewhere west of a town",That sits just north of an unknown latitude,I may be somewhere east of nowhere Somewhere west of a town Somewhere west of a,I might be somewhere east of nowhere,"sailing out of biscayne bay Headed for the island No map, no plans, no place",Somewhere in the middle of nowhere
60,5977183,"Lights that twinkle red and green
Charlie Brown on the TV screen
Hugs from friends and family
That's what we need right now
Buttons on a winter coat
Truck tires down a snowy road
That's the sound of coming home
That's what we need to right now",This world could use a little healing,car tires down a snowy road That's the sound of coming home That's what,Buttons on a winter coat,lights that twinkle red and green Charlie brown on the tv screen Hugs from friends and,And the smell of freshly baked cookies
61,3264102,"Why you waiting so long
Waiting so long
Waiting so long, baby
Why you waiting so long
Waiting so long
Driving yourself crazy
With a head and a heart full of shame
With a head and a heart full of shame",Why you waiting so long,why you waiting so long Waiting so long Waiting so long Waiting so long Waiting so,"You're just a fucker, fucker",why you waiting so long Waiting so long Waiting so long . why you waiting so long,Why you waiting so long
62,5849916,"The way I talk, I guess I got it from my pops
Product of some kneelin' down
In a town where the doors don't lock
And there's a million other people like me
From a scene a little more podunk than pop
I didn't choose being born in the sticks
And I'll be damned if I sound like something I ain't
For some folks, a backroad gets old","But for me, it just can't","a backroad gets old, a backroad gets old . there's a",And I'll be damned if I sound like something I,"the way i talk, i guess i got it from my pops Product of some","But for me, a backroad gets old"
63,3936821,"Lord on bended knee I'm begging you
Let me feel just a little of what you went through
Oh I want to know just how great the cost
Let me live let me live at the foot of the cross
With broken heart Lord show me the way
To have more compassion for those gone astray
Oh give me desire for souls that are lost
Let me live let me live at the foot of the cross",Please let me live where you died for me,Lord on bended knee I'm begging you Let me feel just how great the cost,Oh I'm begging you,Lord on bended knee i'm begging you let me feel just a little,Lord on bended knee I'm begging you
64,566348,"I sure could use an attaboy or a big old high five
I'd love to hear ""You're killing it, dude"", yeah, it's been a long time
Since I hit one out of the park, or nailed it as they say
I guess I've been in a dry spell but that's about to change
'Cause every week has a weekend, by this time Friday night
I'll be done with my third can of cold Bud Light
And I'll be crushin' it, yeah, I'll be crushin' it
They say your baby's mad cause you told her that you'd hang some pictures for her",You know the ones she framed late last spring of you and her in Florida,"'Cause every week has a weekend, by this time Friday night I'll","I'll be crushin' it, yeah, I'll be",i sure could use an attaboy or a big old high five i'd,"But that's not true, that's not true, that'"
65,3130849,"Ahh Yeah
What's That Smell?
Wanda is a woman she works down the hall
Shows up on time, she's like balls to the wall
She went out to lunch with her High School Friends
'Bout three hours later she came rollin' back in
Well, the boss man really jumped her
Son he wasn't joking",Everybody in the office knew Wanda had been smokin',"Wanda works down the hall Shows up on time, she's like balls to the wall","She got a shit, she's got a","the boss man really jumped her son son, he wasn't joking .",'Cause she's a girl you can't
66,2469168,"I gave up on running around
She gave up on me
And gave up all the cocaine
Now it's just me and the whiskey
I gave up my self control
All my sanity
I gave up all my rowdy friends
Now it's just me and the whiskey","Keep the glass, hand me the bottle",I gave up on running around She gave up on me And gave up all the cocaine Now it',I gave up my self control,i gave up running around she gave up on me And gave up all the cocaine now it',I gave up all my money
67,325307,"My name is Joe Roberts, I work for the state
I'm a sergeant out on Perenville barracks number 8
I've always done an honest job, honest as I could
Got a brother named Frankie, Frankie isn't no good
Ever since we were young kids, it's been the same come down
I'd get a call on the short wave, Frankie's in trouble downtown
Well, if it was any other man, I'd put him straight away
But sometimes when it's your brother, you look the other way","Yeah, me and Frankie laughing and drinking, nothing feels better than blood on blood","Frankie isn't no good Ever since we were young kids, it's been","Frankie, Frankie isn't no good","a brother named 'frankie' is in trouble downtown . his brother,","Well, Frankie's in trouble downtown, Frankie'"
68,6163685,"Sittin' in Atlanta Station
Shufflin' my feet, and waitin'
For a woman I thought I once knew
For a while I was her king, her
High and mighty everything, but
She soon made me the Jack of Fools
Still water runs deep
And I can't tell a book by its cover",I'm getting too old for games,she soon made me the Jack of Fools Still water runs deep .,And I can't tell a book by its cover,"i thought i once knew, but she soon made me the jack of fools",Still water runs deep
